BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
020011,,020011,0.004016524,1,0.016062509,,1,0.064176487,1,,1,,,,,0.00401473,1
020012,,020012,0.00401473,2,,,1,,1,,1,,,,,0.004011143,1
020013,,020013,0.004011143,3,,,1,,1,0.258080121,1,,,,,0.004009349,1
020020,,020020,0.004009349,0,,,2,,1,,1,,,,,0.004003967,1
020021,,020021,0.004003967,1,0.016015868,,2,,1,,1,,,,,0.004002173,1
020022,,020022,0.004002173,2,,,2,,1,,1,,,,,0.004000379,3
020023,,020023,0.004000379,3,,,2,,1,,1,,,,,0.004000379,3
020030,,020030,0.004000379,0,,,3,,1,,1,,,,,0.004000379,3
020031,,020031,0.004000379,1,0.015997928,,3,,1,,1,,,,,0.003998585,2
020032,,020032,0.003998585,2,,,3,,1,,1,,,,,0.003998585,2
020033,,020033,0.003998585,3,,,3,,1,,1,1,,,,0.003996792,1
00010,,00010,0.003996792,0,,,0,,2,,1,,,,,0.003994998,3
00011,,00011,0.003994998,1,0.015981786,,0,,2,,1,,,,,0.003994998,3
00012,,00012,0.003994998,2,,,0,,2,,1,,,,,0.003994998,3
00013,,00013,0.003994998,3,,,0,,2,,1,,,,,0.003993204,1
00020,,00020,0.003993204,0,,,1,,2,,1,,,,,0.003989616,1
00021,,00021,0.003989616,1,0.015958464,,1,0.063789009,2,,1,,,,,0.003987822,2
00022,,00022,0.003987822,2,,,1,,2,,1,,,,,0.003987822,2
00023,,00023,0.003987822,3,,,1,,2,,1,,,,,0.003986028,3
00030,,00030,0.003986028,0,,,2,,2,,1,,,,,0.003986028,3
00031,,00031,0.003986028,1,0.015942318,,2,,2,,1,,,,,0.003986028,3
00032,,00032,0.003986028,2,,,2,,2,,1,,,,,0.003984234,1
00033,,00033,0.003984234,3,,,2,,2,,1,,,,,0.00398244,1
000010,,000010,0.00398244,0,,,3,,2,,1,,,,,0.003978853,1
000011,,000011,0.003978853,1,0.015906441,,3,,2,,1,,,,,0.003973471,1
000012,,000012,0.003973471,2,,,3,,2,,1,,,,,0.003971677,1
000013,,000013,0.003971677,3,,,3,,2,,1,,,,,0.003968089,1
000020,,000020,0.003968089,0,,,0,,3,,1,,,,,0.003964501,1
000021,,000021,0.003964501,1,0.015856212,,0,,3,,1,,,,,0.003962708,1
000022,,000022,0.003962708,2,,,0,,3,,1,,,,,0.003960914,3
000023,,000023,0.003960914,3,,,0,,3,,1,,,,,0.003960914,3
000030,,000030,0.003960914,0,,,1,,3,,1,,,,,0.003960914,3
000031,,000031,0.003960914,1,0.01583648,,1,0.063292099,3,,1,,,,,0.00395912,1
000032,,000032,0.00395912,2,,,1,,3,,1,,,,,0.003955532,1
000033,,000033,0.003955532,3,,,1,,3,,1,,,,,0.003953738,2
0000000,,0000000,0.003953738,0,,,2,,3,,1,,,,,0.003953738,2
0000001,,0000001,0.003953738,1,0.015807776,,2,,3,,1,,,,,0.003951944,1
0000002,,0000002,0.003951944,2,,,2,,3,,1,,,,,0.003948356,4
0000003,,0000003,0.003948356,3,,,2,,3,,1,,,,,0.003948356,4
0000010,,0000010,0.003948356,0,,,3,,3,,1,,,,,0.003948356,4
0000011,,0000011,0.003948356,1,0.015791631,,3,,3,,1,,,,,0.003948356,4
0000012,,0000012,0.003948356,2,,,3,,3,,1,,,,,0.003946563,1
0000013,,0000013,0.003946563,3,,,3,,3,,1,,,,,0.003941181,2
0000020,,0000020,0.003941181,0,,,0,,0,,2,,,,,0.003941181,2
0000021,,0000021,0.003941181,1,0.015757548,,0,,0,,2,,,,,0.003939387,1
0000022,,0000022,0.003939387,2,,,0,,0,,2,,,,,0.003935799,1
0000023,,0000023,0.003935799,3,,,0,,0,,2,,,,,0.003934005,2
0000030,,0000030,0.003934005,0,,,1,,0,,2,,,,,0.003934005,2
0000031,,0000031,0.003934005,1,0.015727051,,1,0.062300078,0,,2,,,,,0.003930417,1
0000032,,0000032,0.003930417,2,,,1,,0,,2,,,,,0.003928624,1
0000033,,0000033,0.003928624,3,,,1,,0,,2,,,,,0.00392683,1
00110,,00110,0.00392683,0,,,2,,0,,2,,,,,0.003844311,3
00111,,00111,0.003844311,1,0.015459763,,2,,0,,2,,,,,0.003844311,3
00112,,00112,0.003844311,2,,,2,,0,,2,,,,,0.003844311,3
