BOD



0
1
20
21
22
23
301
302
303
3001
3002
3003
30000
30001
30002
30003
3101
3102
3103
31001
31002
31003
310000
310001
310002
310003
3111
3112
3113
31101
31102
31103
311000
311001
311002
311003
3121
3122
3123
31201
31202
31203
312000
312001
312002
312003
3131
3132
3133
31301
31302
31303
313000
313001
313002
313003
3201
3202
3203
32001
32002
32003
320000
320001
320002
320003
3211
3212
3213
32101
32102
32103
321000
321001
321002
321003
3221
3222
3223
32201
32202
32203
322000
322001
322002
322003
3231
3232
3233
32301
32302
32303
323000
323001
323002
323003
33001
33002
33003
330001
330002
330003
3300000
3300001
3300002
3300003
33011
33012
33013
330101
330102
330103
3301000
3301001
3301002
3301003
33021
33022
33023
330201
330202
330203
3302000
3302001
3302002
3302003
33031
33032
33033
330301
330302
330303
3303000
3303001
3303002
3303003
33101
33102
33103
331001
331002
331003
3310000
3310001
3310002
3310003
33111
33112
33113
331101
331102
331103
3311000
3311001
3311002
3311003
33121
33122
33123
331201
331202
331203
3312000
3312001
3312002
3312003
33131
33132
33133
331301
331302
331303
3313000
3313001
3313002
3313003
33201
33202
33203
332001
332002
332003
3320000
3320001
3320002
3320003
33211
33212
33213
332101
332102
332103
3321000
3321001
3321002
3321003
33221
33222
33223
332201
332202
332203
3322000
3322001
3322002
3322003
33231
33232
33233
332301
332302
332303
3323000
3323001
3323002
3323003
33301
33302
33303
333001
333002
333003
3330000
3330001
3330002
3330003
33311
33312
33313
333101
333102
333103
3331000
3331001
3331002
3331003
33321
33322
33323
333201
333202
333203
3332000
3332001
3332002
3332003
33331
33332
33333
333301
333302
333303
3333000
3333001
3333002
3333003
