BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
322003,,20011,0.004016524,1,0.016062509,,1,0.064176487,1,,1,,,,,0.00401473,1
3231,,20012,0.00401473,2,,,1,,1,,1,,,,,0.004011143,1
3232,,20013,0.004011143,3,,,1,,1,0.258080121,1,,,,,0.004009349,1
3233,,20020,0.004009349,0,,,2,,1,,1,,,,,0.004003967,1
32301,,20021,0.004003967,1,0.016015868,,2,,1,,1,,,,,0.004002173,1
32302,,20022,0.004002173,2,,,2,,1,,1,,,,,0.004000379,3
32303,,20023,0.004000379,3,,,2,,1,,1,,,,,0.004000379,3
323000,,20030,0.004000379,0,,,3,,1,,1,,,,,0.004000379,3
323001,,20031,0.004000379,1,0.015997928,,3,,1,,1,,,,,0.003998585,2
323002,,20032,0.003998585,2,,,3,,1,,1,,,,,0.003998585,2
323003,,20033,0.003998585,3,,,3,,1,,1,1,,,,0.003996792,1
33001,,10,0.003996792,0,,,0,,2,,1,,,,,0.003994998,3
33002,,11,0.003994998,1,0.015981786,,0,,2,,1,,,,,0.003994998,3
33003,,12,0.003994998,2,,,0,,2,,1,,,,,0.003994998,3
330001,,13,0.003994998,3,,,0,,2,,1,,,,,0.003993204,1
330002,,20,0.003993204,0,,,1,,2,,1,,,,,0.003989616,1
330003,,21,0.003989616,1,0.015958464,,1,0.063789009,2,,1,,,,,0.003987822,2
3300000,,22,0.003987822,2,,,1,,2,,1,,,,,0.003987822,2
3300001,,23,0.003987822,3,,,1,,2,,1,,,,,0.003986028,3
3300002,,30,0.003986028,0,,,2,,2,,1,,,,,0.003986028,3
3300003,,31,0.003986028,1,0.015942318,,2,,2,,1,,,,,0.003986028,3
33011,,32,0.003986028,2,,,2,,2,,1,,,,,0.003984234,1
33012,,33,0.003984234,3,,,2,,2,,1,,,,,0.00398244,1
33013,,10,0.00398244,0,,,3,,2,,1,,,,,0.003978853,1
330101,,11,0.003978853,1,0.015906441,,3,,2,,1,,,,,0.003973471,1
330102,,12,0.003973471,2,,,3,,2,,1,,,,,0.003971677,1
330103,,13,0.003971677,3,,,3,,2,,1,,,,,0.003968089,1
3301000,,20,0.003968089,0,,,0,,3,,1,,,,,0.003964501,1
3301001,,21,0.003964501,1,0.015856212,,0,,3,,1,,,,,0.003962708,1
3301002,,22,0.003962708,2,,,0,,3,,1,,,,,0.003960914,3
3301003,,23,0.003960914,3,,,0,,3,,1,,,,,0.003960914,3
33021,,30,0.003960914,0,,,1,,3,,1,,,,,0.003960914,3
33022,,31,0.003960914,1,0.01583648,,1,0.063292099,3,,1,,,,,0.00395912,1
33023,,32,0.00395912,2,,,1,,3,,1,,,,,0.003955532,1
330201,,33,0.003955532,3,,,1,,3,,1,,,,,0.003953738,2
330202,,0,0.003953738,0,,,2,,3,,1,,,,,0.003953738,2
330203,,1,0.003953738,1,0.015807776,,2,,3,,1,,,,,0.003951944,1
3302000,,2,0.003951944,2,,,2,,3,,1,,,,,0.003948356,4
3302001,,3,0.003948356,3,,,2,,3,,1,,,,,0.003948356,4
3302002,,10,0.003948356,0,,,3,,3,,1,,,,,0.003948356,4
3302003,,11,0.003948356,1,0.015791631,,3,,3,,1,,,,,0.003948356,4
33031,,12,0.003948356,2,,,3,,3,,1,,,,,0.003946563,1
33032,,13,0.003946563,3,,,3,,3,,1,,,,,0.003941181,2
33033,,20,0.003941181,0,,,0,,0,,2,,,,,0.003941181,2
330301,,21,0.003941181,1,0.015757548,,0,,0,,2,,,,,0.003939387,1
330302,,22,0.003939387,2,,,0,,0,,2,,,,,0.003935799,1
330303,,23,0.003935799,3,,,0,,0,,2,,,,,0.003934005,2
3303000,,30,0.003934005,0,,,1,,0,,2,,,,,0.003934005,2
3303001,,31,0.003934005,1,0.015727051,,1,0.062300078,0,,2,,,,,0.003930417,1
3303002,,32,0.003930417,2,,,1,,0,,2,,,,,0.003928624,1
3303003,,33,0.003928624,3,,,1,,0,,2,,,,,0.00392683,1
33101,,110,0.00392683,0,,,2,,0,,2,,,,,0.003844311,3
33102,,111,0.003844311,1,0.015459763,,2,,0,,2,,,,,0.003844311,3
33103,,112,0.003844311,2,,,2,,0,,2,,,,,0.003844311,3
331001,,113,0.003844311,3,,,2,,0,,2,,,,,0.003842517,1
331002,,120,0.003842517,0,,,3,,0,,2,,,,,0.003840723,1
331003,,121,0.003840723,1,0.015355716,,3,,0,,2,,,,,0.003837135,1
3310000,,122,0.003837135,2,,,3,,0,,2,,,,,0.003835341,2
3310001,,123,0.003835341,3,,,3,,0,,2,,,,,0.003835341,2
3310002,,130,0.003835341,0,,,0,,1,,2,,,,,0.003831753,2
3310003,,131,0.003831753,1,0.015328807,,0,,1,,2,,,,,0.003831753,2
33111,,132,0.003831753,2,,,0,,1,,2,,,,,0.00382996,1
33112,,133,0.00382996,3,,,0,,1,,2,,,,,0.003826372,4
33113,,1010,0.003826372,0,,,1,,1,,2,,,,,0.003826372,4
331101,,1011,0.003826372,1,0.015305488,,1,0.061196833,1,,2,,,,,0.003826372,4
331102,,1012,0.003826372,2,,,1,,1,,2,,,,,0.003826372,4
331103,,1013,0.003826372,3,,,1,,1,0.243083148,2,,,,,0.003824578,1
3311000,,1020,0.003824578,0,,,2,,1,,2,,,,,0.003822784,3
3311001,,1021,0.003822784,1,0.01529293,,2,,1,,2,,,,,0.003822784,3
3311002,,1022,0.003822784,2,,,2,,1,,2,,,,,0.003822784,3
3311003,,1023,0.003822784,3,,,2,,1,,2,,,,,0.00382099,1
33121,,1030,0.00382099,0,,,3,,1,,2,,,,,0.003819196,1
33122,,1031,0.003819196,1,0.015269608,,3,,1,,2,,,,,0.003815608,1
33123,,1032,0.003815608,2,,,3,,1,,2,,,,,0.003813814,1
331201,,1033,0.003813814,3,,,3,,1,,2,,,,,0.003810227,3
331202,,10000,0.003810227,0,,,0,,2,,2,,,,,0.003810227,3
331203,,10001,0.003810227,1,0.015235526,,0,,2,,2,,,,,0.003810227,3
3312000,,10002,0.003810227,2,,,0,,2,,2,,,,,0.003804845,3
3312001,,10003,0.003804845,3,,,0,,2,,2,,,,,0.003804845,3
3312002,,10010,0.003804845,0,,,1,,2,,2,,,,,0.003804845,3
3312003,,10011,0.003804845,1,0.01521041,,1,0.06064591,2,,2,,,,,0.003801257,1
33131,,10012,0.003801257,2,,,1,,2,,2,,,,,0.003799463,2
33132,,10013,0.003799463,3,,,1,,2,,2,,,,,0.003799463,2
33133,,10020,0.003799463,0,,,2,,2,,2,,,,,0.003797669,2
331301,,10021,0.003797669,1,0.015190677,,2,,2,,2,,,,,0.003797669,2
331302,,10022,0.003797669,2,,,2,,2,,2,,,,,0.003795876,1
331303,,10023,0.003795876,3,,,2,,2,,2,,,,,0.003792288,1
3313000,,10030,0.003792288,0,,,3,,2,,2,,,,,0.0037887,1
3313001,,10031,0.0037887,1,0.015009297,,3,,2,,2,,,,,0.003715051,1
3313002,,10032,0.003715051,2,,,3,,2,,2,,,,,0.003713258,1
3313003,,10033,0.003713258,3,,,3,,2,,2,,,,,0.003711464,1
33201,,210,0.003711464,0,,,0,,3,,2,,,,,0.003707876,2
33202,,211,0.003707876,1,0.014831504,,0,,3,,2,,,,,0.003707876,2
33203,,212,0.003707876,2,,,0,,3,,2,,,,,0.003704288,1
332001,,213,0.003704288,3,,,0,,3,,2,,,,,0.003702494,1
332002,,220,0.003702494,0,,,1,,3,,2,,,,,0.0037007,1
332003,,221,0.0037007,1,0.014781274,,1,0.058940327,3,,2,,,,,0.003693525,1
3320000,,222,0.003693525,2,,,1,,3,,2,,,,,0.003684555,1
3320001,,223,0.003684555,3,,,1,,3,,2,,,,,0.003682761,1
3320002,,230,0.003682761,0,,,2,,3,,2,,,,,0.003673792,1
3320003,,231,0.003673792,1,0.014698755,,2,,3,,2,,,,,0.003671998,1
33211,,232,0.003671998,2,,,2,,3,,2,,,,,0.003670204,1
33212,,233,0.003670204,3,,,2,,3,,2,,,,,0.003666616,1
33213,,2010,0.003666616,0,,,3,,3,,2,,,,,0.003659441,1
332101,,2011,0.003659441,1,0.014628794,,3,,3,,2,,,,,0.003657647,1
332102,,2012,0.003657647,2,,,3,,3,,2,,,,,0.00364509,1
332103,,2013,0.00364509,3,,,3,,3,,2,,,,,0.003639708,1
3321000,,2020,0.003639708,0,,,0,,0,,3,,,,,0.003621769,1
3321001,,2021,0.003621769,1,0.01448887,,0,,0,,3,,,,,0.003618181,1
3321002,,2022,0.003618181,2,,,0,,0,,3,,,,,0.003609212,1
3321003,,2023,0.003609212,3,,,0,,0,,3,,,,,0.0021,60
33221,,2030,0.0021,0,,,1,,0,,3,,,,,0.0021,60
33222,,2031,0.0021,1,0.0084,,1,0.03968887,0,,3,,,,,0.0021,60
33223,,2032,0.0021,2,,,1,,0,,3,,,,,0.0021,60
332201,,2033,0.0021,3,,,1,,0,,3,,,,,0.0021,60
332202,,20000,0.0021,0,,,2,,0,,3,,,,,0.0021,60
332203,,20001,0.0021,1,0.0084,,2,,0,,3,,,,,0.0021,60
3322000,,20002,0.0021,2,,,2,,0,,3,,,,,0.0021,60
3322001,,20003,0.0021,3,,,2,,0,,3,,,,,0.0021,60
3322002,,20010,0.0021,0,,,3,,0,,3,,,,,0.0021,60
3322003,,20011,0.0021,1,0.0084,,3,,0,,3,,,,,0.0021,60
33231,,20012,0.0021,2,,,3,,0,,3,,,,,0.0021,60
33232,,20013,0.0021,3,,,3,,0,,3,,,,,0.0021,60
33233,,20020,0.0021,0,,,0,,1,,3,,,,,0.0021,60
332301,,20021,0.0021,1,0.0084,,0,,1,,3,,,,,0.0021,60
332302,,20022,0.0021,2,,,0,,1,,3,,,,,0.0021,60
332303,,20023,0.0021,3,,,0,,1,,3,,,,,0.0021,60
3323000,,20030,0.0021,0,,,1,,1,,3,,,,,0.0021,60
3323001,,20031,0.0021,1,0.0084,,1,0.0336,1,,3,,,,,0.0021,60
3323002,,20032,0.0021,2,,,1,,1,,3,,,,,0.0021,60
3323003,,20033,0.0021,3,,,1,,1,0.14048887,3,,,,,0.0021,60
33301,,310,0.0021,0,,,2,,1,,3,,,,,0.0021,60
33302,,311,0.0021,1,0.0084,,2,,1,,3,,,,,0.0021,60
33303,,312,0.0021,2,,,2,,1,,3,,,,,0.0021,60
333001,,313,0.0021,3,,,2,,1,,3,,,,,0.0021,60
333002,,320,0.0021,0,,,3,,1,,3,,,,,0.0021,60
333003,,321,0.0021,1,0.0084,,3,,1,,3,,,,,0.0021,60
3330000,,322,0.0021,2,,,3,,1,,3,,,,,0.0021,60
3330001,,323,0.0021,3,,,3,,1,,3,,,,,0.0021,60
3330002,,330,0.0021,0,,,0,,2,,3,,,,,0.0021,60
3330003,,331,0.0021,1,0.0084,,0,,2,,3,,,,,0.0021,60
33311,,332,0.0021,2,,,0,,2,,3,,,,,0.0021,60
33312,,333,0.0021,3,,,0,,2,,3,,,,,0.0021,60
33313,,3010,0.0021,0,,,1,,2,,3,,,,,0.0021,60
333101,,3011,0.0021,1,0.0084,,1,0.0336,2,,3,,,,,0.0021,60
333102,,3012,0.0021,2,,,1,,2,,3,,,,,0.0021,60
333103,,3013,0.0021,3,,,1,,2,,3,,,,,0.0021,60
3331000,,3020,0.0021,0,,,2,,2,,3,,,,,0.0021,60
3331001,,3021,0.0021,1,0.0084,,2,,2,,3,,,,,0.0021,60
3331002,,3022,0.0021,2,,,2,,2,,3,,,,,0.0021,60
3331003,,3023,0.0021,3,,,2,,2,,3,,,,,0.0021,60
33321,,3030,0.0021,0,,,3,,2,,3,,,,,0.0021,60
33322,,3031,0.0021,1,0.0084,,3,,2,,3,,,,,0.0021,60
33323,,3032,0.0021,2,,,3,,2,,3,,,,,0.0021,60
333201,,3033,0.0021,3,,,3,,2,,3,,,,,0.0021,60
333202,,30000,0.0021,0,,,0,,3,,3,,,,,0.0021,60
333203,,30001,0.0021,1,0.0084,,0,,3,,3,,,,,0.0021,60
3332000,,30002,0.0021,2,,,0,,3,,3,,,,,0.0021,60
3332001,,30003,0.0021,3,,,0,,3,,3,,,,,0.0021,60
3332002,,30010,0.0021,0,,,1,,3,,3,,,,,0.0021,60
3332003,,30011,0.0021,1,0.0084,,1,0.0336,3,,3,,,,,0.0021,60
33331,,30012,0.0021,2,,,1,,3,,3,,,,,0.0021,60
33332,,30013,0.0021,3,,,1,,3,,3,,,,,0.0021,60
33333,3320,30020,0.0021,0,,,2,,3,,3,,,,,0.0021,60
333301,3321,30021,0.0021,1,0.0084,,2,,3,,3,,,,,0.0021,60
333302,3322,30022,0.0021,2,,,2,,3,,3,,,,,0.0021,60
333303,3323,30023,0.0021,3,,,2,,3,,3,,,,,0.0021,60
3333000,3330,30030,0.0021,0,,,3,,3,,3,,,,,0.0021,60
3333001,3331,30031,0.0021,1,0.0084,,3,,3,,3,,,,,0.0021,60
3333002,3332,30032,0.0021,2,,,3,,3,,3,,,,,0.0021,60
3333003,3333,30033,0.0021,3,,,3,,3,,3,,,,,,
