BOD



0
1
20
21
22
23
301
303
3000
3001
3002
3003
3020
3021
3022
3023
3101
3103
31000
31001
31002
31003
31020
31021
31022
31023
3111
3113
31100
31101
31102
31103
31120
31121
31122
31123
3121
3123
31200
31201
31202
31203
31220
31221
31222
31223
3131
3133
31300
31301
31302
31303
31320
31321
31322
31323
3201
3203
32000
32001
32002
32003
32020
32021
32022
32023
3211
3213
32100
32101
32102
32103
32120
32121
32122
32123
3221
3223
32200
32201
32202
32203
32220
32221
32222
32223
3231
3233
32300
32301
32302
32303
32320
32321
32322
32333
33001
33003
330000
330001
330002
330003
330020
330021
330022
330023
33011
33013
330100
330101
330102
330103
330120
330121
330122
330123
33021
33023
330200
330201
330202
330203
330220
330221
330222
330223
33031
33033
330300
330301
330302
330303
330320
330321
330322
330323
33101
33103
331000
331001
331002
331003
331020
331021
331022
331023
33111
33113
331100
331101
331102
331103
331120
331121
331122
331123
33121
33123
331200
331201
331202
331203
331220
331221
331222
331223
33131
33133
331300
331301
331302
331303
331320
331321
331322
331323
33201
33203
332000
332001
332002
332003
332020
332021
332022
332023
33211
33213
332100
332101
332102
332103
332120
332121
332122
332123
33221
33223
332200
332201
332202
332203
332220
332221
332222
332223
33231
33233
332300
332301
332302
332303
332320
332321
332322
332323
33301
33303
333000
333001
333002
333003
333020
333021
333022
333023
33311
33313
333100
333101
333102
333103
333120
333121
333122
333123
33321
33323
333200
333201
333202
333203
333220
333221
333222
333223
33331
33333
333300
333301
333302
333303
333320
333321
333322
333323
