BOD,QUAT,,*,,,*,,*,,*,,,,,,
,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,
1123,,0.004000379,3,,,2,,1,,1,,,,,0.004000379,3
1130,,0.004000379,0,,,3,,1,,1,,,,,0.004000379,3
1131,,0.004000379,1,0.015997928,,3,,1,,1,,,,,0.003998585,2
1132,,0.003998585,2,,,3,,1,,1,,,,,0.003998585,2
1133,,0.003998585,3,,,3,,1,,1,1,,,,0.003996792,1
1200,,0.003996792,0,,,0,,2,,1,,,,,0.003994998,3
1201,,0.003994998,1,0.015981786,,0,,2,,1,,,,,0.003994998,3
1202,,0.003994998,2,,,0,,2,,1,,,,,0.003994998,3
1203,,0.003994998,3,,,0,,2,,1,,,,,0.003993204,1
1210,,0.003993204,0,,,1,,2,,1,,,,,0.003989616,1
1211,,0.003989616,1,0.015958464,,1,0.063789009,2,,1,,,,,0.003987822,2
1212,,0.003987822,2,,,1,,2,,1,,,,,0.003987822,2
1213,,0.003987822,3,,,1,,2,,1,,,,,0.003986028,3
1220,,0.003986028,0,,,2,,2,,1,,,,,0.003986028,3
1221,,0.003986028,1,0.015942318,,2,,2,,1,,,,,0.003986028,3
1222,,0.003986028,2,,,2,,2,,1,,,,,0.003984234,1
1223,,0.003984234,3,,,2,,2,,1,,,,,0.00398244,1
1230,,0.00398244,0,,,3,,2,,1,,,,,0.003978853,1
1231,,0.003978853,1,0.015906441,,3,,2,,1,,,,,0.003973471,1
1232,,0.003973471,2,,,3,,2,,1,,,,,0.003971677,1
1233,,0.003971677,3,,,3,,2,,1,,,,,0.003968089,1
1300,,0.003968089,0,,,0,,3,,1,,,,,0.003964501,1
1301,,0.003964501,1,0.015856212,,0,,3,,1,,,,,0.003962708,1
1302,,0.003962708,2,,,0,,3,,1,,,,,0.003960914,3
1303,,0.003960914,3,,,0,,3,,1,,,,,0.003960914,3
1310,,0.003960914,0,,,1,,3,,1,,,,,0.003960914,3
1311,,0.003960914,1,0.01583648,,1,0.063292099,3,,1,,,,,0.00395912,1
1312,,0.00395912,2,,,1,,3,,1,,,,,0.003955532,1
1313,,0.003955532,3,,,1,,3,,1,,,,,0.003953738,2
1320,,0.003953738,0,,,2,,3,,1,,,,,0.003953738,2
1321,,0.003953738,1,0.015807776,,2,,3,,1,,,,,0.003951944,1
1322,,0.003951944,2,,,2,,3,,1,,,,,0.003948356,4
1323,,0.003948356,3,,,2,,3,,1,,,,,0.003948356,4
1330,,0.003948356,0,,,3,,3,,1,,,,,0.003948356,4
1331,,0.003948356,1,0.015791631,,3,,3,,1,,,,,0.003948356,4
1332,,0.003948356,2,,,3,,3,,1,,,,,0.003946563,1
1333,,0.003946563,3,,,3,,3,,1,,,,,0.003941181,2
2000,,0.003941181,0,,,0,,0,,2,,,,,0.003941181,2
2001,,0.003941181,1,0.015757548,,0,,0,,2,,,,,0.003939387,1
2002,,0.003939387,2,,,0,,0,,2,,,,,0.003935799,1
2003,,0.003935799,3,,,0,,0,,2,,,,,0.003934005,2
2010,,0.003934005,0,,,1,,0,,2,,,,,0.003934005,2
2011,,0.003934005,1,0.015727051,,1,0.062300078,0,,2,,,,,0.003930417,1
2012,,0.003930417,2,,,1,,0,,2,,,,,0.003928624,1
2013,,0.003928624,3,,,1,,0,,2,,,,,0.00392683,1
2020,,0.00392683,0,,,2,,0,,2,,,,,0.003844311,3
2021,,0.003844311,1,0.015459763,,2,,0,,2,,,,,0.003844311,3
2022,,0.003844311,2,,,2,,0,,2,,,,,0.003844311,3
2023,,0.003844311,3,,,2,,0,,2,,,,,0.003842517,1
